Topic ID: D1410_TRAIN | Citance Number: 10 | Citation Text: abundant solid cervical mir-24 up-regulated mirnas cancer cancers | Reference Offset: [457-696', 5101-5216', 5602-5791'] | Reference Text: species mirna sequencing mirnas abundant rna mir-21 library mir-24 small caski subset lesions demonstrate cervical significantly mirnas cancers total clones species mirna mirnas cloned abundant mir-21 mir-24 | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1425_EVAL | Citance Number: 12 | Citation Text: amino form common drugs inhibitors substitutions tyrosine kinase acid imatinib resistance cancer | Reference Offset: [5360-5637', 13222-13497', 30482-30707'] | Reference Text: residues mutations change substitutions 13 contact kinase imatinib domain required drug direct sites structure amino conformational include acid led binding based structure amino mutations potential abl confer kinase acid imatinib domain resistance mechanisms bound obtained amino defined evidence play substitutions mutants acid vitro imatinib resistance large | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1430_EVAL | Citance Number: 18 | Citation Text: kras mutations report tumor exert recent | Reference Offset: [26910-26993', 466-520', 522-707'] | Reference Text: dependency k-ras mutations tumor ras samples k-ras mutations epithelial occur frequently cancers k-ras shrnas mutations maintain lung viability pancreatic lines require cancer | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1403_EVAL | Citance Number: 12 | Citation Text: analyze system ros accumulation transformation | Reference Offset: [31061-31379', 779-1050', 1898-2087'] | Reference Text: allowed direct rapidly inhibition differentiation induction effects ras demonstrating appears analyze system time oncogenic thyroid frtl-5 early activation cellular constitutively expressing differentiation origin established oncoprotein effects ras analyze generated thyroid active lines frtl-5 viral forms stably mutations progression common genes play tumor transformation malignant cancers oncogenic genetic alterations | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1416_TRAIN | Citance Number: 11 | Citation Text: complex actin monomer baf53 baf product stimulation sequestering experiments atpase latrunculin required chromatin | Reference Offset: [29550-29676', 25955-26166', 25065-25218'] | Reference Text: product sequestering complex actin monomer atpase latrunculin baf natural activation detect complex demonstrate actin baf53 baf brg1 experiments vitro mediated interact directly interactions complex observation actin baf53 determine baf brg1 led subunits interact directly required | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1404_TRAIN | Citance Number: 5 | Citation Text: mcf-7 transfected hela t47d electroporation | Reference Offset: [16436-16565', 22460-22570', 45463-45604'] | Reference Text: cyclin mcf-7 d1 transfected wild-type mutant electroporation mcf-7 transfected vector construct electroporation mcf-7 hr transfected irradiated population electroporation | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1403_TRAIN | Citance Number: 14 | Citation Text: response termed h-rasv12 arrest oncogenes primary senescence stress premature growth | Reference Offset: [30597-30804', 33090-33236', 33238-33367'] | Reference Text: mutations induction ras transform program oncogenic primary senescence rodent premature demonstrate p53 association oncogenic primary senescence induction rodent ras premature response suppression signaling propose senescence induction mechanism tumor mitogenic premature | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1405_TRAIN | Citance Number: 7 | Citation Text: chips oct4 obtained mouse differentiated profiling differentiation affymetrix murine 16 samples stages lineages 43 lines microarray early escs stembase carcinoma | Reference Offset: [7655-7863', 7865-8091', 590-800'] | Reference Text: basis 45 form set murine samples selected stem part stembase total set differentiated affymetrix embryonic adult derivatives variety samples biological stem oct4 essential lineage differentiation state embryonic factor adult implicated mediator stem homeodomain cancer transcription | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1401_EVAL | Citance Number: 15 | Citation Text: flux ros insulin electron resistance | Reference Offset: [32765-32944', 13431-13645', 13765-13983'] | Reference Text: result flux ros alternative reduced chain transport electron pathways generation site reverse ros responsible generates ii flow acid electron occurring generation site ros rise absence electron subsequent block flow cytochrome produced | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1406_TRAIN | Citance Number: 12 | Citation Text: processes series development neoplastic integrity normal tissue thought epigenetic accumulation transformation represent division vitro genetic alterations vivo occur | Reference Offset: [2207-2440', 3677-4023', 44531-44751'] | Reference Text: tumorigenesis evidence normal steps derivatives malignant transformation process genetic highly lines alterations reflect development normal tumor type cancers observations process models leads advantage analogous genetic cancer growth animal complex integrity normal tissue proteolysis signaling regulation molecules reflect | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1402_EVAL | Citance Number: 11 | Citation Text: rnai previous identify genes colon breast findings loss-of-function screens lines derived required multiple cancer | Reference Offset: [20414-20694', 26282-26649', 24046-24315'] | Reference Text: screen rnai essential proliferation genes developed collection consortium viability library lines part required shrna cancer large essential amplifications dependent made reminiscent egfr observations breast findings oncogenes lines oncogene bcr-abl cancer ikbke amplification genes induce possibility tumors transformation observations breast findings target lines cancer key ikbke | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1422_EVAL | Citance Number: 5 | Citation Text: essential domains promyelocytic pml 10 nuclear component oncogenic leukemia domain called bodies large | Reference Offset: [11551-11738', 794-977', 20278-20449'] | Reference Text: sites antibodies domains pml nuclear fail bodies antigen pml oncogenic domains part suggests structure complexity size pml led nuclear search large pod | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1405_TRAIN | Citance Number: 13 | Citation Text: direct oct4 genes list 28 transcripts recently action investigated included published escs | Reference Offset: [13927-14151', 3942-4248', 6654-6899'] | Reference Text: direct oct4 pcr 28 transcriptional confirmed identification quantitative chromatin targets series oct4 revealed circuitry nanog recent transcriptional sox2 identification core escs targets cellular direct events developmental molecular outcome recently increase | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1406_TRAIN | Citance Number: 5 | Citation Text: sensor result functions removal tp53 dna component apoptosis induce damage mutation key | Reference Offset: [29051-29299', 25072-25206', 55050-55270'] | Reference Text: inactivation induce functional damage resulting apoptotic cancers product sensor removal p53 component dna cascade effector key response p53 proapoptotic dna apoptosis bax suppressor damage tumor systems member cycle apoptosis suppressor damage tumor response p53 arrest dna | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1429_EVAL | Citance Number: 12 | Citation Text: conditions mitochondria reports translocate endomembranes isoforms signal ras recent localized | Reference Offset: [18576-18681', 33260-33601', 1771-1879'] | Reference Text: endomembranes signal ras cycle trafficking isoforms signal ras regulates clear endomembrane pm golgi forms generated differential sequences isoforms part ras large distinct | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1418_TRAIN | Citance Number: 7 | Citation Text: mutations pathway genes suppressor tumor accumulation selection process oncogenes experiments cancer mutated homologous | Reference Offset: [897-1026', 2202-2525', 2527-2800'] | Reference Text: rate-limiting oncogenes maintenance dependent highly context driver tumor continued kras mutations loss progression metastatic disease occurs acquisition suppressors intraepithelial tp53 cases activating subsequent tumor malignant pancreatic invasive oncogene early neoplasia kras mouse progression genes evidence suppressor tumor pdac models oncogenic genetically provided driver initiation major | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1411_EVAL | Citance Number: 12 | Citation Text: p53kd generation | Reference Offset: [266-318', 320-411', 413-532'] | Reference Text: locus inactivated cancer p53 p16ink4a prb inhibit growth p14arf vectors analyze functions rna primary interference assays transformation | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1423_EVAL | Citance Number: 7 | Citation Text: bcl-2 bak bax bh3-only inhibited | Reference Offset: [5432-5670', 397-552', 710-942'] | Reference Text: preventing bak complexes bcl-xl stable antiapoptotic mitochondrial comparison bcl-2 bax wild-type molecules bh3-only mutant 2001 members activation bak kill mitochondria bcl-2 proapoptotic family bax require release members cytochrome bak characterized domains bh3 bad mitochondrial antiapoptotic resulting subset activate bcl-2 binds bax initiate displacement bik peptides directly | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1404_EVAL | Citance Number: 7 | Citation Text: cyclin interestingly 22 establish stability phosphorylated observations licensing stabilized replication recently cdc6 initiation phosphorylation key | Reference Offset: [1558-1674', 1780-1897', 10640-10798'] | Reference Text: p53 replication dna collectively cdc6 stability initiation regulated process licensing replication dna origins cdc6 plays key major critical licensing pre-rc ir replication dna cdc6 examined initiation factor formation | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1420_EVAL | Citance Number: 14 | Citation Text: subtypes serve lymphoblastic differentiation leukemic express stages resulting acute arrested t-cell t-all oncogenes subsequently classification leukemia developmentally thymocyte | Reference Offset: [31053-31237', 1806-2013', 16000-16133'] | Reference Text: subtypes defined development identify normal link molecular stages t-all oncogenes activation thymocyte subtypes lymphoblastic lineage line pathogenesis molecular research impact leukemias acute remain undefined largely leukemia t-all recognized differentiation profiles samples stages thymocyte | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1401_TRAIN | Citance Number: 6 | Citation Text: cmv constructs mir-vec cloned vector dnd1 | Reference Offset: [42195-42329', 5596-5776', 13874-14062'] | Reference Text: promoter cmv mir-vec mirna pcr cloned genomic dna sequence downstream amplified region promoter cmv vector mir-vec marker vector resistance population growth | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1419_EVAL | Citance Number: 5 | Citation Text: cyclin-dependent suppressor phosphorylated tumor retinoblastoma substrate kinases product critical g1 phosphorylation early | Reference Offset: [1389-1486', 17016-17260', 19316-19611'] | Reference Text: genes suppressor class tumor retinoblastoma residues phosphorylated serine existence rb kinases phosphorylation threonine mutations functional tumor retinoblastoma rb suppression proposed directly phosphorylation | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1424_EVAL | Citance Number: 14 | Citation Text: cloned cd2-associated membrane cd2 domain cytoplasmic interacts natural | Reference Offset: [21415-21541', 41879-42054', 939-1154'] | Reference Text: residues 30 sequence cd2ap cd2 domain cytoplasmic interacts cloned mouse cd2 domain encoding pcr construct cytoplasmic produced cytoskeletal cd2 dependent domain interaction cytoplasmic required clustering | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1427_EVAL | Citance Number: 17 | Citation Text: work basis binding bh3-only structural specificities recent members antiapoptotic | Reference Offset: [7371-7545', 8080-8150', 4463-4757'] | Reference Text: domains determine bh3 assays antiapoptotic bcl-2 family binding bh3-only interactions members selective family binding bh3-only antiapoptotic members preventing oligomerization death domains bh3 interaction prevent bax/bak antiapoptotic sequestering upstream signaling family largely binding activator members | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1410_TRAIN | Citance Number: 13 | Citation Text: breast mir-126 recently leukemia metastasis cervical downregulated mirna suppressing cancer | Reference Offset: [1338-1652', 17489-17898', 4911-5099'] | Reference Text: normal mirna mir-155 mirnas downregulation tissues mir-126 mir-145 mir-143 upregulation northern mir-146a cervical combination analyses significantly cancer development mir-145 mir-143 mirna downregulated upregulation lesions mir-146a cervical suggesting case reduction downregulation cancer early tissues cervical mirna lines approaches cancer profile tissues | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1413_EVAL | Citance Number: 7 | Citation Text: anchorage-independent targeting proliferation dependent transformed ras considered bj rna fibroblasts activated sv40 pten telomerase extracellular expressing matrix vectors p53 leading interference lines antigen knockdown survival small growth | Reference Offset: [2451-2823', 2113-2449', 3192-3288'] | Reference Text: telomerase model catalytic anchorage-independent inhibition transformation vectors h-rasv12 subunit p53 p16ink4a bj oncogenic primary recently combination overexpression fibroblast antigen small sv40 shrna growth telomerase genes recombination ras transformation vectors altered apparent p53 prb pi3k rna ectopic recently pathways mutant viral homologous represents primary transformed st antigen small sv40 | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1414_EVAL | Citance Number: 4 | Citation Text: mir-31 metastasis class suppressing suppress 50 | Reference Offset: [818-965', 967-1056', 1687-1768'] | Reference Text: breast patients mir-31 identify metastasis correlates microrna cancer breast mir-31 suppresses metastasis overexpression tumor findings mir-31 metastasis multiple mechanisms | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1423_EVAL | Citance Number: 12 | Citation Text: activating proposed kill bh3-only bax/bak directly drug considered | Reference Offset: [6957-7134', 26720-26893', 28140-28298'] | Reference Text: member bak responsible activating bh3 bax domain binding bh3-only directly bid bcl-2 activating initiate susceptibility bcl-xl predicted bh3-only require signal apoptotic cooperating activating pockets bh3-only members antiapoptotic intact include | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1413_EVAL | Citance Number: 4 | Citation Text: genes pitx1 factor endogenous ras transformation bj fibroblasts require regulated activation transcription | Reference Offset: [30639-30789', 400-535', 1276-1406'] | Reference Text: requirement deregulation fibroblasts primary genetically ras sole transformation subsets mutations activating tumorigenesis indicating ras activation occur frequently cancers affects rasal1 target pitx1 finally ras transcription | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1423_EVAL | Citance Number: 6 | Citation Text: bak peptide synthetic mitochondria leads incubated bax membrane bim release activation cytochrome intact | Reference Offset: [11250-11438', 397-552', 554-708'] | Reference Text: bak hallmark tbid requires mitochondria native presence bax multidomain release 2000 cytochrome intact bak kill mitochondria bcl-2 proapoptotic family bax require release members cytochrome bak oligomerization domains bh3 capable short bax peptides bim release bid find inducing cytochrome | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1413_EVAL | Citance Number: 19 | Citation Text: 10 days transduction rasv12 assessed | Reference Offset: [2825-2977', 3909-4065', 4411-4526'] | Reference Text: model indispensable oncogenic resulted rasv12 transformed ras assay rasv12 representative vector overexpression selected days vector drug | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1406_TRAIN | Citance Number: 3 | Citation Text: factors numerous metastasis tumor microenvironment outcome growth | Reference Offset: [7189-7357', 29718-30048', 46136-46333'] | Reference Text: stimulation generate normal tissue tumor microenvironment growth signals extracellular loss suppressor tumor signal ras signals signaling factors akt activated phosphatase survival intracellular pten body metastasis tumor mass initially primary invasion cancer | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1416_TRAIN | Citance Number: 17 | Citation Text: initially complex mammalian baf53 baf components swi/snf-like | Reference Offset: [17245-17438', 1098-1279', 3641-3823'] | Reference Text: cellular total complex mammalian baf53 antibodies determine baf components direct work complex swi/snf baf signals signaling membrane mammalian regulation chromatin complex complexes mechanism baf rise family mammalian remodeling group chromatin members | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1419_EVAL | Citance Number: 10 | Citation Text: progression state established phosphorylation rb | Reference Offset: [6121-6466', 10034-10232', 14677-14866'] | Reference Text: cellular proliferation lymphocytes state induction phosphorylated investigate rb primary examined phosphorylation agents differentiation differentiate established effects rb chemical leukemia examined induced lines phosphorylation hr newly differentiation induction established continued 12 rb terminal synthesis phosphorylation | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1403_EVAL | Citance Number: 14 | Citation Text: responsible differentiation lauro differentiate lack tsh ras recent dose response signaling accepted di generally thyrocytes low | Reference Offset: [6197-6519', 14871-15015', 26802-27051'] | Reference Text: systems essential responsible maintenance differentiation induction understanding finally molecular ras factors oncogenic thyroid mechanisms inducible transcription level markers differentiation increase low ras loss differentiation show ras rat induces level oncogenic thyroid interference cultured low growth | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1411_EVAL | Citance Number: 10 | Citation Text: tumor-suppressor deregulation genes uncover inhibitors ras potentially suppressors describe primary fibroblasts pathways sole requirement defined pathway collectively inhibition strategy tumor transformation process p53 p16ink4a identification genetically approach regulate | Reference Offset: [20746-21000', 4659-4886', 6590-6758'] | Reference Text: requirement pathway inhibition ras resulting p53 presence p16ink4a prb additional oncogenes grow overexpression mutant model technology individual pathway neoplastic genes suppressor tumor transformation p53 p16ink4a prb rna combination contribution interference directly p14arf sufficient direct initially p53 prb primary fibroblasts inhibition examined lt transformation | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1423_EVAL | Citance Number: 11 | Citation Text: preventing membranes oligomerization thymocytes bcl-xl conformational state preferential maintaining mitochondrial bax wild-type binding bh3-only sequestered translocation | Reference Offset: [5432-5670', 28392-28543', 3386-3632'] | Reference Text: preventing bak complexes bcl-xl stable antiapoptotic mitochondrial comparison bcl-2 bax wild-type molecules bh3-only mutant 2001 members activation bak bcl-xl preferential interaction assays antiapoptotic prior bcl-2 proapoptotic bax binding bim intact membranes death stimuli variety mitochondrial response inactive outer bax membrane located 2000 | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1413_TRAIN | Citance Number: 14 | Citation Text: aberrant promoter enzymatic mutations deregulation genes lead metabolite tumors isocitrate 2-hydroxyglutarate production dehydrogenase idh2 resulting acute idh1 critical carrying family leukemia recently idh1/2 hypermethylated myeloid members phenotype epigenetic cancers inhibits tet2 tet | Reference Offset: [5121-5475', 5637-5936', 1904-2225'] | Reference Text: cellular enzymatic loss mutations metabolism normal tumors idh2 idh1 selected wild-type idh1/2 suggesting required relevant copy catalyzing enzymatic mutations common tumors idh2 neomorphic idh1 idh1/2 aml feature affecting reduction brain hypermethylation loss mutations global differentiation idh2 induces mutants dna tet2 idh1/2 increase myeloid inhibit mutant profile | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1418_EVAL | Citance Number: 11 | Citation Text: allowed potency inhibitors abl type residue date steric kinase atp advanced domain availability structure gatekeeper ii mutants t315i pocket wild-type target molecules imatinib-resistant inhibitor mutant bind clash design | Reference Offset: [5924-6170', 2966-3266', 3268-3527'] | Reference Text: reveal structure acts gatekeeper mutation abl recent point kinase t315i domain x-ray mutant threonine suggests treatment mutation potential abl clinically second-line clear present kinase patient identification imatinib domain active resistance bcr-abl inhibitor mutant therapy member multi-targeted nilotinib inhibitors abl date second-line dasatinib kinase achieved regulatory family imatinib inhibitor | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1420_EVAL | Citance Number: 4 | Citation Text: t-all cases cortical display phenotype | Reference Offset: [5013-5161', 5563-5761', 5763-6077'] | Reference Text: transcriptional 1996 limited t-all generate remains maintain downstream understanding phenotype subset t-all cases strong receptor activated places reverse cases pediatric pcr translocations locus-specific samples transcriptase analyze t-all oncogene quantitative acting hypothesis | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1425_EVAL | Citance Number: 10 | Citation Text: site mutations effects dominant reduce affinity vicinity binding resistance multiple drug | Reference Offset: [5360-5637', 13499-13743', 14249-14438'] | Reference Text: residues mutations change substitutions 13 contact kinase imatinib domain required drug direct sites structure amino conformational include acid led binding based sites mutations contact imatinib atp binding affecting significantly group directly drug site hydrophobic pocket stabilized chain hydrogen atp binding formed group drug | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1407_TRAIN | Citance Number: 12 | Citation Text: aurora-a lats centrosomal components required | Reference Offset: [1193-1377', 5293-5679', 5827-6018'] | Reference Text: lats2 aurora-a s83 basis localization centrosomal target plays phosphorylation observations aurora-a remains hela regulator mitotic biological component apparatus unclear recruiting required phosphorylation aurora-a additional centrosomal recruitment phosphorylation requires | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1413_EVAL | Citance Number: 13 | Citation Text: libraries tumor-suppressor genes large-scale screened clear loss-of-function mammalian recently plasmids reports identify establish retroviral involved proteasome screens group approaches shrna | Reference Offset: [726-921', 2451-2823', 3674-3907'] | Reference Text: tumor-suppressor constructs genes uncover absence ras screened transform oncogenic primary introduced library knockdown telomerase model catalytic anchorage-independent inhibition transformation vectors h-rasv12 subunit p53 p16ink4a bj oncogenic primary recently combination overexpression fibroblast antigen small sv40 shrna growth assay pcr sequencing growing retroviral vector amplified shrna | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1424_EVAL | Citance Number: 10 | Citation Text: termed involves surface immune immunological receptors contact ligands area synapse multiple activation engagement presented | Reference Offset: [1156-1312', 2462-2800', 3816-3977'] | Reference Text: facilitate area cytoskeleton receptor cd2ap called adhesion receptors contact membranes cd2 interaction helps receptors ligands promote apc tcr cluster molecules dimensions tight central engagement nm binds ligands area range cd2 adhesion participate molecule contact formation | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1429_EVAL | Citance Number: 8 | Citation Text: complex isoforms ras signals mitochondria membrane golgi intracellular reticulum compartments endoplasmic | Reference Offset: [4249-4421', 747-1019', 1881-2010'] | Reference Text: membranes k-ras pkc rapid apparatus induced pm translocation golgi included intracellular reticulum endoplasmic region promotes k-ras membranes association bcl-xl show interacts rapid mitochondria polybasic kinase outer membrane pm intracellular phosphorylation methylation association membrane c-terminal isoforms proteolysis ras requires motif | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1412_TRAIN | Citance Number: 8 | Citation Text: rip agents homotypic interaction inhibited motif caspase-8 response kinase binds cytokine interact | Reference Offset: [7798-7934', 1439-1604', 5781-6054'] | Reference Text: rip homotypic rip1 interact interaction rip3 motif essential virus innate rip3 response controls kinase initiating inflammatory cascade programmed necrosis infections rapidly tnf genes identify fadd-deficient jurkat screened response kinase rna undergo library programmed molecules interference necrosis small | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1411_EVAL | Citance Number: 19 | Citation Text: treatment rasv12 resulting response system stabilized p53 experiment activated alterations | Reference Offset: [22573-22780', 1687-1824', 6760-6899'] | Reference Text: pathway activates induce stress rasv12 response p53 oncogenic suggesting manner p14arf p53 prb genetic suppressor tumor pathways alterations cancers system p53 prb rna interfering suppress stably | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1402_TRAIN | Citance Number: 1 | Citation Text: short designed previous oncogenes genes primary genetically suppressor tumor transformation | Reference Offset: [5446-5821', 12167-12374', 15048-15235'] | Reference Text: cellular anchorage-independent proliferation hallmark measured express transformation models oncogenes vitro subsequently recently primary acting viral culture pathway suppressor ii epithelial tumor type transformation transforming receptor growth screen genes suppressor candidate tumor transformation represent critical oncogenic negative pathways cancer regulators | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1402_TRAIN | Citance Number: 14 | Citation Text: neoplastic uncover genes recently suppressor tumor assays transformation | Reference Offset: [12167-12374', 15048-15235', 33781-33944'] | Reference Text: pathway suppressor ii epithelial tumor type transformation transforming receptor growth screen genes suppressor candidate tumor transformation represent critical oncogenic negative pathways cancer regulators model actively genes context suppressor established tumor transformation | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1405_EVAL | Citance Number: 16 | Citation Text: signaling activates apoptosis cascade genes downstream induction rip1 necrosis | Reference Offset: [815-1123', 3059-3251', 39311-39545'] | Reference Text: screen apoptosis set genes identify sirna rip1 necroptosis subset kinase involved and/or downstream act required genome-wide regulators regulate kinase apoptosis death induction rip1 receptors death rip1 mediating gaps involved signaling mediate downstream types multiple regulate | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1408_EVAL | Citance Number: 8 | Citation Text: cloned duplexes vector sirna lentiviral | Reference Offset: [653-831', 6106-6278', 8457-8605'] | Reference Text: inactivation down-regulation vector mediated genes functional sirna show resulting targeted vector sirna synthetic survival profile transcript designed system test vector sequence target sirna synthetic psuper | Discourse Facet: | Run ID: BLLIP 1
Topic ID: D1401_EVAL | Citance Number: 2 | Citation Text: respiratory chain natural production mitochondrial represent | Reference Offset: [3121-3398', 8397-8547', 12437-12664'] | Reference Text: cellular evaluate ros oxidative stress production mitochondrial response major chain molecules manner stable energy mitochondrial cytochrome ros oxidative production mitochondria chain increase approach phosphorylation based cytochrome | Discourse Facet: | Run ID: BLLIP 1
